Country,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
French Guiana,Gamma,19/03/2016,16/04/2016,1.22132458649194,1.12966490713649,1.33474952581147
French Guiana,Gamma,26/03/2016,23/04/2016,1.01183144509348,0.949876371718473,1.08336334405645
French Guiana,Gamma,02/04/2016,30/04/2016,0.962292981481903,0.916781101069977,1.01164166520981
French Guiana,Gamma,09/04/2016,07/05/2016,0.927500137207384,0.882653387905973,0.972777299560045
French Guiana,Gamma,16/04/2016,14/05/2016,0.931492909369496,0.887719041748821,0.97590569584196
French Guiana,Gamma,23/04/2016,21/05/2016,0.901740214571119,0.859684344559245,0.944848239769899
Guadalupe,Gamma,23/01/2016,20/02/2016,3.66827997875137,2.6333058367039,5.11328134061703
Guadalupe,Gamma,30/01/2016,27/02/2016,2.68044420382611,1.83183877853992,3.68663738448475
Guadalupe,Gamma,06/02/2016,05/03/2016,2.20454464531628,1.65601164557214,3.02406703991129
Guadalupe,Gamma,13/02/2016,12/03/2016,1.8370202360787,1.4888694893344,2.29196717547268
Guadalupe,Gamma,20/02/2016,19/03/2016,1.41305560564972,1.18677887615173,1.68957525455576
Guadalupe,Gamma,27/02/2016,26/03/2016,1.05923252060881,0.934213825327695,1.22020828718221
Guadalupe,Gamma,05/03/2016,02/04/2016,1.16862315149151,1.07185857743681,1.27634489380433
Guadalupe,Gamma,12/03/2016,09/04/2016,1.26764991579611,1.17869550452406,1.35989832429994
Guadalupe,Gamma,19/03/2016,16/04/2016,1.60605623735241,1.47060351501471,1.73595866207505
Guadalupe,Gamma,26/03/2016,23/04/2016,1.93881192761642,1.69284650668623,2.15850450750749
Guadalupe,Gamma,02/04/2016,30/04/2016,2.32934705817006,1.91992075850905,2.73482792997436
Guadalupe,Gamma,09/04/2016,07/05/2016,2.26735794173461,1.78040264349693,2.79150491511257
Guadalupe,Gamma,16/04/2016,14/05/2016,2.12803849424796,1.69072243012989,2.67035894786772
Guadalupe,Gamma,23/04/2016,21/05/2016,1.95137949032845,1.59442800812629,2.38637154348018
Guatemala,Gamma,21/11/2015,19/12/2015,3.33142836003944,2.04030977502975,5.58938210616901
Guatemala,Gamma,28/11/2015,26/12/2015,2.15973110635253,1.54080820362758,3.12015761472924
Guatemala,Gamma,05/12/2015,02/01/2016,1.81755353118498,1.449118370482,2.331805182392
Guatemala,Gamma,12/12/2015,09/01/2016,1.4166426030525,1.18105166794043,1.70418884780246
