City,Searches,Rain,Temp,Cases
Mexico-Baja_California_Sur,0,0.1,23.1,0
Mexico-Baja_California_Sur,10,54.3,29.6,0
Mexico-Baja_California_Sur,0,68.3,30.8,0
Mexico-Baja_California_Sur,0,7.1,18.1,0
Mexico-Baja_California_Sur,10,0.2,24.3,2
Mexico-Baja_California_Sur,0,0.1,23.1,0
Mexico-Baja_California_Sur,0,0.5,21.8,0
Mexico-Baja_California_Sur,24,54.3,29.6,0
Mexico-Baja_California_Sur,0,1.3,23.4,0
Mexico-Baja_California_Sur,42,8,21.1,0
Mexico-Baja_California_Sur,0,1.6,23.7,0
Mexico-Baja_California_Sur,30,12.2,19.1,1
Mexico-Baja_California_Sur,10,8,21.1,0
Mexico-Baja_California_Sur,18,2.6,27.9,0
Mexico-Baja_California_Sur,14,2.6,27.9,0
Mexico-Baja_California_Sur,30,8.4,17.8,0
Mexico-Baja_California_Sur,0,6.5,27.5,0
Mexico-Baja_California_Sur,43,1.6,23.7,0
Mexico-Baja_California_Sur,0,3.1,23.6,0
Mexico-Baja_California_Sur,17,2.6,22.2,0
Mexico-Baja_California_Sur,17,0.6,28,0
Mexico-Baja_California_Sur,0,0.5,21.8,0
Mexico-Baja_California_Sur,23,2.6,22.2,0
Mexico-Baja_California_Sur,23,6.5,27.5,0
Mexico-Baja_California_Sur,0,5.6,17.7,0
Mexico-Baja_California_Sur,0,0.2,24.3,3
Mexico-Baja_California_Sur,0,16,22.9,0
Mexico-Baja_California_Sur,19,0.3,21.1,0
Mexico-Baja_California_Sur,12,0.6,28,0
Mexico-Baja_California_Sur,0,7.1,18.1,0
Mexico-Baja_California_Sur,8,23.6,30.1,0
Mexico-Baja_California_Sur,0,59,28.3,0
Mexico-Baja_California_Sur,0,12.2,19.1,0
Mexico-Baja_California_Sur,8,2.6,27.9,2
Mexico-Baja_California_Sur,0,23.6,30.1,0
Mexico-Baja_California_Sur,0,2.6,22.2,0
Mexico-Baja_California_Sur,0,6.5,27.5,0
Mexico-Baja_California_Sur,71,18.4,19.3,0
Mexico-Baja_California_Sur,26,8.4,17.8,0
Mexico-Baja_California_Sur,0,0.5,21.8,0
Mexico-Baja_California_Sur,26,12.2,19.1,1
Mexico-Baja_California_Sur,54,8,21.1,0
Mexico-Baja_California_Sur,0,59,28.3,2
Mexico-Baja_California_Sur,0,79.9,28.5,0
Mexico-Baja_California_Sur,13,54.3,29.6,0
Mexico-Baja_California_Sur,0,12.1,29.8,0
Mexico-Baja_California_Sur,0,59,28.3,1
Mexico-Baja_California_Sur,0,79.9,28.5,0
Mexico-Baja_California_Sur,0,18.4,19.3,0
Mexico-Baja_California_Sur,53,2.6,22.2,0
Mexico-Baja_California_Sur,22,12.1,29.8,0
Mexico-Baja_California_Sur,10,23.6,30.1,0
Mexico-Baja_California_Sur,100,0.1,23.1,0
Mexico-Baja_California_Sur,0,3.1,23.6,0
Mexico-Baja_California_Sur,0,5.6,17.7,0
Mexico-Baja_California_Sur,48,1.9,26.6,0
Mexico-Baja_California_Sur,88,1.6,23.7,0
Mexico-Baja_California_Sur,43,12.1,29.8,0
Mexico-Baja_California_Sur,92,5.6,17.7,0
Mexico-Baja_California_Sur,5,79.9,28.5,0
